part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P19,J19,O191,M2,start,204.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P11,J11,O111,M1,end,205.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P6,J6,O061,M1,start,205.0,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P18,J18,O183,M8,queued,206.69999999999993,4.0,"O092,O252,O082,O183","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P7,J7,O073,M7->M4,delivery,208.79999999999976,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",9.0
P2,J2,O021,M4,end,209.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P12,J12,O122,M4,start,209.1,2.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P40,J40,O402,M2->M4,delivery,210.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P3,J3,O033,M8->M4,delivery,210.79999999999976,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",9.0
P28,J28,O282,M6,end,211.10000000000002,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P23,J23,O232,M6,start,211.10000000000002,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P32,J32,O322,M5,queued,212.79999999999976,5.0,"O371,O341,O172,O303,O322","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P11,J11,O112,M1->M4,delivery,213.79999999999987,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P40,J40,O402,M4,queued,217.1,3.0,"O242,O141,O402","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P7,J7,O073,M4,queued,218.79999999999976,4.0,"O242,O141,O402,O073","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P1,J1,O012,M1->M2,delivery,218.8999999999997,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",5.0
P16,J16,O162,M8,end,219.10000000000005,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P9,J9,O092,M8,start,219.10000000000005,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P3,J3,O033,M4,queued,220.79999999999976,5.0,"O242,O141,O402,O073,O033","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P11,J11,O112,M4,queued,220.79999999999987,6.0,"O242,O141,O402,O073,O033,O112","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P2,J2,O022,M4->M7,delivery,220.8999999999997,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",9.0
P29,J29,O292,M5,end,222.10000000000002,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P37,J37,O371,M5,start,222.10000000000002,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P1,J1,O012,M2,queued,224.8999999999997,5.0,"O351,O392,O312,O152,O012","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P38,J38,O383,M2->M6,delivery,224.8999999999997,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P28,J28,O283,M6->M7,delivery,225.19999999999993,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P19,J19,O191,M2,end,230.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P35,J35,O351,M2,start,230.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P5,J5,O052,M7,end,230.10000000000002,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P33,J33,O332,M7,start,230.10000000000002,2.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P2,J2,O022,M7,queued,230.8999999999997,3.0,"O272,O211,O022","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P16,J16,O163,M8,queued,230.8999999999997,4.0,"O252,O082,O183,O163","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P5,J5,O053,M7,queued,231.89999999999998,4.0,"O272,O211,O022,O053","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P28,J28,O283,M7,queued,232.19999999999993,5.0,"O272,O211,O022,O053,O283","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P38,J38,O383,M6,queued,233.8999999999997,4.0,"O102,O263,O362,O383","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P29,J29,O293,M5->M2,delivery,234.99999999999963,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",10.0
P6,J6,O061,M1,end,236.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P13,J13,O132,M1,start,236.0,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P19,J19,O192,M2->M1,delivery,236.89999999999995,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",5.0
P12,J12,O122,M4,end,240.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P24,J24,O242,M4,start,240.1,5.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P23,J23,O232,M6,end,241.10000000000002,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P10,J10,O102,M6,start,241.10000000000002,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P19,J19,O192,M1,queued,242.89999999999995,4.0,"O201,O042,O221,O192","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P6,J6,O062,M1->M2,delivery,243.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",5.0
P29,J29,O293,M2,queued,245.99999999999963,5.0,"O392,O312,O152,O012,O293","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P12,J12,O123,M4->M6,delivery,248.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P23,J23,O233,M6,queued,248.10000000000002,4.0,"O263,O362,O383,O233","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P6,J6,O062,M2,queued,249.0,6.0,"O392,O312,O152,O012,O293,O062","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P9,J9,O092,M8,end,249.10000000000005,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P25,J25,O252,M8,start,249.10000000000005,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P37,J37,O371,M5,end,252.10000000000002,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P34,J34,O341,M5,start,252.10000000000002,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P9,J9,O093,M8->M5,delivery,255.10000000000005,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",7.0
P35,J35,O351,M2,end,256.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P39,J39,O392,M2,start,256.1,5.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P12,J12,O123,M6,queued,257.1,5.0,"O263,O362,O383,O233,O123","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
