part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P38,J38,O383,M2,end,514.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P38,J38,,,done,514.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,O284,M2,start,514.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,O402,M8,end,517.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,O154,M8,start,517.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O135,M6->M5,delivery,517.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P22,J22,O224,M1->M7,delivery,520.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",7.0
P13,J13,O135,M5,queued,524.1,4.0,"O093,O023,O204,O135","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O113,M4,end,525.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O073,M4,start,525.1,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,O403,M8->M6,delivery,526.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P22,J22,O224,M7,queued,528.0,3.0,"O173,O083,O224","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,O403,M6,queued,533.1,2.0,"O273,O403","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O114,M4->M2,delivery,533.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P25,J25,O253,M7,end,536.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P17,J17,O173,M7,start,536.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O324,M5,end,538.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O093,M5,start,538.1,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P14,J14,O143,M6,end,539.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P14,J14,,,done,539.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P27,J27,O273,M6,start,539.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O104,M1,end,540.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P18,J18,O183,M1,start,540.0,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O114,M2,queued,540.1,3.0,"O163,O333,O114","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O254,M7->M1,delivery,542.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",7.0
P32,J32,O325,M5->M6,delivery,543.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P28,J28,O284,M2,end,544.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O163,M2,start,544.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O105,M1->M6,delivery,547.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P15,J15,O154,M8,end,547.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O354,M8,start,547.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O254,M1,queued,550.1,2.0,"O373,O254","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O325,M6,queued,550.1,2.0,"O403,O325","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,O285,M2->M1,delivery,552.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",5.0
P15,J15,O155,M8,queued,554.1,2.0,"O294,O155","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O105,M6,queued,556.0,3.0,"O403,O325,O105","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O073,M4,end,556.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,,,done,556.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O013,M4,start,556.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,O285,M1,queued,558.1,3.0,"O373,O254,O285","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P17,J17,O173,M7,end,562.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P17,J17,,,done,562.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O083,M7,start,562.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P27,J27,O273,M6,end,569.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
